index,shoe,material,emotion,target_h2h_ms,target_pk_db,desired_peak_dbfs,h2h_mean_ms,h2h_se_ms,h2h_sampling_sd_ms,pk_mean_db,pk_se_db,pk_sampling_sd_db,wav_path,n_steps_scheduled,before_peak_dbfs,after_peak_dbfs,before_rms_dbfs,after_rms_dbfs,applied_gain_db,sr,duration_s,aggressive_log_likelihood,happy_log_likelihood,neutral_log_likelihood,tender_log_likelihood,sad_log_likelihood,aggressive_estimate,happy_estimate,neutral_estimate,tender_estimate,sad_estimate,predicted_emotion,source_emotion_folder
0,dress,gravel,aggressive,888.9395280705207,72.08405697240173,-11.18973431410345,691,47,210.19038988498025,85.2,2.1,9.391485505499118,turchet_emotion_generated/dress/gravel/aggressive/dress_gravel_aggressive_0000.wav,12,0.5709186203516874,-11.189734284791813,-24.06907032871517,-35.82972425274138,-11.760652934455138,44100,10.0,-10.844323439374534,-10.22869241282112,-9.301462376841272,-12.174156038618662,-17.224410664382912,0.1282874339817701,0.23743748099686016,0.6001228515817326,0.03393478943263092,0.00021744400700625228,neutral,aggressive
1,dress,gravel,aggressive,548.1305551479425,88.6795788835425,-5.888489297618021,691,47,210.19038988498025,85.2,2.1,9.391485505499118,turchet_emotion_generated/dress/gravel/aggressive/dress_gravel_aggressive_0001.wav,18,0.5179859875751671,-5.888489564861679,-22.721707275527496,-29.128182371551148,-6.406475285193188,44100,10.0,-9.725336598616588,-10.521300527785606,-18.009312011544537,-28.539033190697655,-45.75561631795559,0.6889905624418858,0.3108354412346941,0.0001739916726093246,4.650810657408201e-09,1.5504637241095702e-16,aggressive,aggressive
2,dress,gravel,aggressive,477.37322967144087,84.52268585135774,-7.216360068355216,691,47,210.19038988498025,85.2,2.1,9.391485505499118,turchet_emotion_generated/dress/gravel/aggressive/dress_gravel_aggressive_0002.wav,21,0.7260825703188302,-7.21635991643039,-22.22873928667862,-30.17118141617532,-7.942442638674046,44100,10.0,-9.94477747260469,-10.267993718246512,-17.318732844015244,-30.75713539761245,-52.74179429493552,0.5798968220330911,0.4197393607608656,0.0003638166755760081,5.304671888225315e-10,1.50259687352872e-19,aggressive,aggressive
3,dress,gravel,aggressive,728.6653795263211,77.39474376615082,-9.493297645812966,691,47,210.19038988498025,85.2,2.1,9.391485505499118,turchet_emotion_generated/dress/gravel/aggressive/dress_gravel_aggressive_0003.wav,14,0.8846321015681268,-9.493297854331392,-24.261633303811017,-34.63956369531921,-10.377929747381092,44100,10.0,-9.787112929740625,-9.774185752555233,-11.36257442912386,-17.612191878229808,-27.817724933849625,0.4503849748161312,0.45624497621933185,0.09319007431381422,0.00017996799816602342,6.652556856566871e-09,happy,aggressive
4,dress,gravel,aggressive,415.8529259902804,87.02089391163493,-6.418336776252687,691,47,210.19038988498025,85.2,2.1,9.391485505499118,turchet_emotion_generated/dress/gravel/aggressive/dress_gravel_aggressive_0004.wav,24,0.5837394528997136,-6.4183368050191465,-21.570207978121203,-28.57228381941825,-7.002076229152401,44100,10.0,-10.301279925281465,-10.678004180324114,-19.660028444222462,-35.12999216228665,-60.5393861638958,0.5930524689147159,0.40689640525641735,5.1125819091689476e-05,9.775081813344848e-12,9.014897591607144e-23,aggressive,aggressive
5,dress,gravel,aggressive,899.7715424392042,79.12388139438893,-8.940944891642513,691,47,210.19038988498025,85.2,2.1,9.391485505499118,turchet_emotion_generated/dress/gravel/aggressive/dress_gravel_aggressive_0005.wav,12,0.5530232952470516,-8.940944967029498,-24.80822776463685,-34.30219735085937,-9.493968186889564,44100,10.0,-10.128259388322107,-10.214583337427557,-10.56491225605646,-13.223733727716121,-17.229255498544518,0.3832048137885303,0.3515126358578158,0.24762530590208945,0.01734137507056837,0.00031586938099628897,aggressive,aggressive
6,dress,gravel,aggressive,620.866196393853,79.95119486486418,-8.67666929754481,691,47,210.19038988498025,85.2,2.1,9.391485505499118,turchet_emotion_generated/dress/gravel/aggressive/dress_gravel_aggressive_0006.wav,16,0.5315455110015137,-8.676669419132084,-23.07537508351229,-32.28358932803899,-9.208214808546323,44100,10.0,-9.637540333292874,-9.794233462484627,-13.338893195055729,-22.409451365624484,-37.19614187561483,0.5320112997857869,0.4548517765816609,0.01313541302887899,1.510603101368064e-06,5.71968719057225e-13,aggressive,aggressive
7,dress,gravel,aggressive,582.9292105309869,70.8208600213053,-11.593247778620892,691,47,210.19038988498025,85.2,2.1,9.391485505499118,turchet_emotion_generated/dress/gravel/aggressive/dress_gravel_aggressive_0007.wav,17,0.6991173060289285,-11.593248204910928,-23.26313567731889,-35.55549985221512,-12.29236508464982,44100,10.0,-10.729979776583852,-9.910552237309018,-12.241602183519438,-22.479899836223638,-40.12870561792779,0.2865526413042196,0.6502453790177963,0.06319971879033881,2.2608875962861656e-06,4.892152741994361e-14,happy,aggressive
8,dress,gravel,aggressive,858.4094655013699,66.3827639930578,-13.010945551454212,691,47,210.19038988498025,85.2,2.1,9.391485505499118,turchet_emotion_generated/dress/gravel/aggressive/dress_gravel_aggressive_0008.wav,12,1.180789957651101,-13.010945477680233,-24.52746226633524,-38.71919661380386,-14.191735509105312,44100,10.0,-11.750176893921541,-10.514744865175519,-9.323563320536545,-12.402758795910934,-18.761335109290762,0.06141771678308989,0.21126861257781127,0.6952781031001183,0.03198018328085025,5.5384258130166314e-05,neutral,aggressive
9,dress,gravel,aggressive,565.524167233057,99.32179721272524,-2.488957352554186,691,47,210.19038988498025,85.2,2.1,9.391485505499118,turchet_emotion_generated/dress/gravel/aggressive/dress_gravel_aggressive_0009.wav,18,1.0042597046339383,-2.4889574202009173,-23.09271198522902,-26.58592834980191,-3.4932170571881245,44100,10.0,-10.73440464587462,-12.26685675321332,-24.70590478123414,-32.65546293421666,-46.6559311331957,0.822364224728578,0.17763507143457977,7.035886034865807e-07,2.482387392317965e-10,2.0632101895749518e-16,aggressive,aggressive
